question_id,document_id,question_text,gold_answer,gold_support_chunk_ids,page_hint
q0011,2d1f518956cdc4b3cf6a9447714cfcd0,Lời gọi hệ thống `Read()` yêu cầu những gì để thực hiện thao tác đọc file?,Lời gọi hệ thống `Read()` yêu cầu tên file và một vùng đệm để ghi kết quả đọc được vào[cite: 24].,2d1f518956cdc4b3cf6a9447714cfcd0:13|2d1f518956cdc4b3cf6a9447714cfcd0:14|2d1f518956cdc4b3cf6a9447714cfcd0:15,13|14|15
q0012,2d1f518956cdc4b3cf6a9447714cfcd0,Con trỏ đọc (read pointer) có vai trò gì?,"Hệ thống lưu một con trỏ đọc (read pointer) để chỉ ra vị trí được đọc, và con trỏ này sẽ thay đổi sau mỗi thao tác đọc dữ liệu[cite: 24].",2d1f518956cdc4b3cf6a9447714cfcd0:15|2d1f518956cdc4b3cf6a9447714cfcd0:13|2d1f518956cdc4b3cf6a9447714cfcd0:14,13|14|15
q0013,2d1f518956cdc4b3cf6a9447714cfcd0,Làm thế nào để thu gọn một file mà vẫn giữ nguyên các thuộc tính của nó?,"Để thu gọn file, hệ thống sẽ tìm kiếm file trong thư mục, đặt kích thước file về 0 và giải phóng vùng nhớ dành cho file[cite: 27].",2d1f518956cdc4b3cf6a9447714cfcd0:18|2d1f518956cdc4b3cf6a9447714cfcd0:4|2d1f518956cdc4b3cf6a9447714cfcd0:5,4|5|18
q0014,2d1f518956cdc4b3cf6a9447714cfcd0,Sector trên đĩa mềm được xác định như thế nào?,"Một sector trên đĩa mềm có thể được xác định qua tọa độ 3 chiều (Header, Track, Sector) hoặc qua số hiệu sector, là vị trí tương đối so với sector đầu tiên của đĩa[cite: 23].",2d1f518956cdc4b3cf6a9447714cfcd0:78|2d1f518956cdc4b3cf6a9447714cfcd0:77|2d1f518956cdc4b3cf6a9447714cfcd0:66,66|77|78
q0015,2d1f518956cdc4b3cf6a9447714cfcd0,Cấu trúc vật lý của một đĩa cứng bao gồm những thành phần chính nào?,Một đĩa cứng gồm nhiều mặt đĩa; các rãnh có cùng bán kính trên các mặt đĩa tạo thành một cylinder; và mỗi mặt của mỗi cylinder lại được chia thành các sector[cite: 28].,2d1f518956cdc4b3cf6a9447714cfcd0:82|2d1f518956cdc4b3cf6a9447714cfcd0:90|2d1f518956cdc4b3cf6a9447714cfcd0:84,82|84|90
q0016,2d1f518956cdc4b3cf6a9447714cfcd0,Hệ thống sử dụng loại con trỏ nào cho cả thao tác đọc và ghi?,"Hệ thống sử dụng một con trỏ chung cho cả thao tác đọc và ghi, được gọi là con trỏ file[cite: 21].",2d1f518956cdc4b3cf6a9447714cfcd0:84|2d1f518956cdc4b3cf6a9447714cfcd0:26|2d1f518956cdc4b3cf6a9447714cfcd0:18,18|26|84
q0017,2d1f518956cdc4b3cf6a9447714cfcd0,"Trong việc định vị thông tin trên đĩa mềm, tọa độ 3 chiều được chuyển đổi sang tọa độ 1 chiều như thế nào?","Tọa độ 3 chiều (Header, Track, Sector) được chuyển đổi thành số hiệu sector, là vị trí tương đối so với sector đầu tiên[cite: 23]. Ví dụ, Sector <0, 0, 3> trở thành sector #2[cite: 23].",2d1f518956cdc4b3cf6a9447714cfcd0:79|2d1f518956cdc4b3cf6a9447714cfcd0:65|2d1f518956cdc4b3cf6a9447714cfcd0:68,65|68|79
q0018,2d1f518956cdc4b3cf6a9447714cfcd0,Thao tác thay đổi vị trí trong file (seek) có yêu cầu hoạt động vào/ra không?,"Không, thao tác thay đổi vị trí trong file không yêu cầu một hoạt động vào/ra mà chỉ thay đổi giá trị của con trỏ file cho thích hợp[cite: 26].",2d1f518956cdc4b3cf6a9447714cfcd0:18|2d1f518956cdc4b3cf6a9447714cfcd0:13|2d1f518956cdc4b3cf6a9447714cfcd0:14,13|14|18
q0019,2d1f518956cdc4b3cf6a9447714cfcd0,Con trỏ ghi (write pointer) được sử dụng để làm gì?,"Hệ thống sử dụng một con trỏ ghi (write pointer) để chỉ ra vị trí ghi dữ liệu vào file, và con trỏ này sẽ thay đổi sau mỗi thao tác ghi[cite: 29].",2d1f518956cdc4b3cf6a9447714cfcd0:9|2d1f518956cdc4b3cf6a9447714cfcd0:12|2d1f518956cdc4b3cf6a9447714cfcd0:11,9|11|12
q0020,2d1f518956cdc4b3cf6a9447714cfcd0,"Sau khi nhận lời gọi `Read()`, hệ thống làm gì để tìm thấy dữ liệu của file?","Hệ thống dùng tên file để tìm kiếm file trong thư mục file, sau đó dựa vào trường vị trí để tìm vị trí của file trên thiết bị lưu trữ[cite: 20].",2d1f518956cdc4b3cf6a9447714cfcd0:14|2d1f518956cdc4b3cf6a9447714cfcd0:15|2d1f518956cdc4b3cf6a9447714cfcd0:13,13|14|15
q0021,74040f5628748874779838fa7a292b09,Phân biệt giữa tiến trình (process) và chương trình (program).,"Chương trình là một thực thể thụ động chứa các chỉ thị điều khiển máy tính, trong khi tiến trình là trạng thái động của một chương trình khi đang được thực thi[cite: 48].",74040f5628748874779838fa7a292b09:65|74040f5628748874779838fa7a292b09:66|74040f5628748874779838fa7a292b09:28,28|65|66
q0022,74040f5628748874779838fa7a292b09,Nhiệm vụ của hệ điều hành trong việc quản lý tiến trình là gì?,"Nhiệm vụ của hệ điều hành trong việc quản lý tiến trình bao gồm: tạo và hủy tiến trình, ngưng và thực hiện lại tiến trình, cung cấp cơ chế đồng bộ và giao tiếp giữa các tiến trình, và cung cấp cơ chế kiểm soát bế tắc[cite: 34].",74040f5628748874779838fa7a292b09:73|74040f5628748874779838fa7a292b09:81|74040f5628748874779838fa7a292b09:12,12|73|81
q0023,74040f5628748874779838fa7a292b09,Kể tên các loại hệ điều hành dựa trên cách chúng hoạt động.,"Các loại hệ điều hành bao gồm: hệ thống xử lý theo lô đơn chương trình, hệ thống xử lý theo lô đa chương trình, hệ thống phân chia thời gian, hệ thống song song, hệ thống phân tán, và hệ thống xử lý thời gian thực[cite: 44].",74040f5628748874779838fa7a292b09:44|74040f5628748874779838fa7a292b09:70|74040f5628748874779838fa7a292b09:92,44|70|92
q0024,74040f5628748874779838fa7a292b09,Hệ thống xử lý theo lô đa chương trình (multiprogrammed batch system) hoạt động như thế nào?,"Hệ thống này cho phép thực hiện nhiều chương trình đồng thời[cite: 51]. Khi một chương trình phải thực hiện thao tác vào ra, bộ xử lý (processor) sẽ được chuyển giao cho một chương trình khác đang ở trạng thái sẵn sàng, giúp hạn chế thời gian rỗi của processor[cite: 51].",74040f5628748874779838fa7a292b09:44|74040f5628748874779838fa7a292b09:45|74040f5628748874779838fa7a292b09:43,43|44|45
q0025,74040f5628748874779838fa7a292b09,Đặc điểm của hệ điều hành trên máy tính cá nhân trong giai đoạn đầu (thập niên 1980) là gì?,"Trong giai đoạn đầu (thập niên 1980), do tài nguyên phần cứng bị giới hạn, hệ điều hành trên máy tính cá nhân đã trở thành một thư viện các thủ tục cung cấp sẵn và chỉ cho phép chạy một chương trình tại một thời điểm (ví dụ như DOS)[cite: 39].",74040f5628748874779838fa7a292b09:39|74040f5628748874779838fa7a292b09:30|74040f5628748874779838fa7a292b09:19,19|30|39
q0026,74040f5628748874779838fa7a292b09,Hệ thống song song kiểu đa xử lý không đối xứng (ASMP) được mô tả như thế nào?,"Trong hệ thống đa xử lý không đối xứng (ASMP), có một bộ xử lý chính kiểm soát toàn bộ hệ thống, và các bộ xử lý khác thực hiện theo lệnh của bộ xử lý chính[cite: 43]. Mô hình này hoạt động theo dạng quan hệ chủ-tớ, trong đó bộ xử lý chính sẽ lập lịch cho các bộ xử lý khác[cite: 43].",74040f5628748874779838fa7a292b09:47|74040f5628748874779838fa7a292b09:46|74040f5628748874779838fa7a292b09:42,42|46|47
q0027,74040f5628748874779838fa7a292b09,Tại sao tính an toàn là một tính chất quan trọng của hệ điều hành?,"Tính an toàn rất quan trọng, đặc biệt với hệ điều hành đa nhiệm, để đảm bảo dữ liệu và chương trình được bảo vệ khỏi bị thay đổi ngoài ý muốn và để hạn chế các truy nhập bất hợp pháp[cite: 50].",74040f5628748874779838fa7a292b09:54|74040f5628748874779838fa7a292b09:56|74040f5628748874779838fa7a292b09:58,54|56|58
q0028,74040f5628748874779838fa7a292b09,Hệ thống phân tán (distributed system) đối mặt với những vấn đề gì?,"Các hệ thống phân tán phải đối mặt với các vấn đề như độ trễ truyền thông, băng thông, độ tin cậy, và các mối đe dọa từ virus[cite: 42].",74040f5628748874779838fa7a292b09:48|74040f5628748874779838fa7a292b09:33|74040f5628748874779838fa7a292b09:9,9|33|48
q0029,74040f5628748874779838fa7a292b09,Một tiến trình có thể bao gồm những gì?,"Một tiến trình bao gồm mã lệnh chương trình có thể thực thi, dữ liệu của chương trình, ngăn xếp, con trỏ ngăn xếp, các thanh ghi, và các thông tin khác cần thiết cho việc thực thi chương trình[cite: 48].",74040f5628748874779838fa7a292b09:65|74040f5628748874779838fa7a292b09:64|74040f5628748874779838fa7a292b09:94,64|65|94
q0030,74040f5628748874779838fa7a292b09,"Trong hệ thống đa tiến trình phân chia thời gian, bảng tiến trình (process table) dùng để làm gì?","Do hệ điều hành trong hệ thống đa tiến trình phân chia thời gian phải dừng một tiến trình để bắt đầu một tiến trình khác theo chu kỳ, nó cần một bảng tiến trình (process table) để lưu thông tin của các tiến trình đó[cite: 36].",74040f5628748874779838fa7a292b09:65|74040f5628748874779838fa7a292b09:87|74040f5628748874779838fa7a292b09:45,45|65|87
q0031,a3aa8203ae0398a1ef263322bcadebc3,Hệ điều hành sử dụng hai phương pháp nào để biết khi nào một thiết bị vào/ra hoàn thành yêu cầu?,"Hệ điều hành sử dụng hai phương pháp: Ngắt (I/O interrupts), trong đó thiết bị ngoại vi sẽ phát ra tín hiệu ngắt để báo cho CPU[cite: 66], và Thăm dò (polling), trong đó hệ điều hành sẽ kiểm tra thanh ghi trạng thái của thiết bị theo chu kỳ[cite: 67].",a3aa8203ae0398a1ef263322bcadebc3:22|a3aa8203ae0398a1ef263322bcadebc3:13|a3aa8203ae0398a1ef263322bcadebc3:34,13|22|34
q0032,a3aa8203ae0398a1ef263322bcadebc3,Bộ điều khiển thiết bị (Device Controller) là gì?,"Đó là các mạch điện tử kết nối thiết bị ngoại vi với hệ thống máy tính[cite: 64], vì bộ xử lý (processor) không điều khiển trực tiếp các thiết bị này[cite: 64].",a3aa8203ae0398a1ef263322bcadebc3:6|a3aa8203ae0398a1ef263322bcadebc3:11|a3aa8203ae0398a1ef263322bcadebc3:8,6|8|11
q0033,a3aa8203ae0398a1ef263322bcadebc3,Ngắt (interrupt) là gì?,Ngắt là hiện tượng dừng đột xuất một chương trình đang chạy để chuyển sang thực hiện một chương trình khác nhằm phản ứng với một sự kiện nào đó xảy ra[cite: 69].,a3aa8203ae0398a1ef263322bcadebc3:15|a3aa8203ae0398a1ef263322bcadebc3:16|a3aa8203ae0398a1ef263322bcadebc3:17,15|16|17
q0034,a3aa8203ae0398a1ef263322bcadebc3,Mục đích chính của việc điều phối truy nhập đĩa là gì?,"Mục đích chính của việc điều phối truy nhập đĩa là để cực tiểu hóa thời gian định vị[cite: 59], tức là thời gian tương ứng với khoảng cách dịch chuyển của đầu đọc/ghi[cite: 59].",a3aa8203ae0398a1ef263322bcadebc3:35|a3aa8203ae0398a1ef263322bcadebc3:40|a3aa8203ae0398a1ef263322bcadebc3:42,35|40|42
q0035,a3aa8203ae0398a1ef263322bcadebc3,"Khi hệ thống phát hiện lỗi vào ra, nó sẽ cố gắng khắc phục bằng cách nào đầu tiên?","Khi phát hiện lỗi, hệ thống sẽ cố gắng khắc phục bằng cách thực hiện lại thao tác nhiều lần[cite: 56].",a3aa8203ae0398a1ef263322bcadebc3:26|a3aa8203ae0398a1ef263322bcadebc3:34|a3aa8203ae0398a1ef263322bcadebc3:20,20|26|34
q0036,a3aa8203ae0398a1ef263322bcadebc3,Nguyên tắc hoạt động của thuật toán C-SCAN là gì?,"Trong thuật toán C-SCAN, đầu từ di chuyển từ cylinder ngoài cùng vào trong cùng, phục vụ các yêu cầu gặp trên đường đi[cite: 61]. Khi tới cylinder trong cùng, nó sẽ quay ngược lại cylinder ngoài cùng mà không phục vụ yêu cầu nào trên đường quay về, điều này giúp thu được thời gian đợi đồng nhất hơn[cite: 61].",a3aa8203ae0398a1ef263322bcadebc3:44|a3aa8203ae0398a1ef263322bcadebc3:37|a3aa8203ae0398a1ef263322bcadebc3:4,4|37|44
q0037,a3aa8203ae0398a1ef263322bcadebc3,Thuật toán LOOK khác với thuật toán SCAN như thế nào?,"Thuật toán LOOK là một phiên bản của SCAN/C-SCAN, trong đó đầu đọc không di chuyển tới các cylinder ngoài cùng hoặc trong cùng, mà chỉ di chuyển đến các yêu cầu xa nhất về hai phía rồi quay lại ngay[cite: 68].",a3aa8203ae0398a1ef263322bcadebc3:44|a3aa8203ae0398a1ef263322bcadebc3:43|a3aa8203ae0398a1ef263322bcadebc3:45,44|43|45
q0038,a3aa8203ae0398a1ef263322bcadebc3,CPU làm việc với các thanh ghi của bộ điều khiển thiết bị thông qua đâu?,CPU sử dụng các không gian địa chỉ đặc biệt được gọi là các cổng vào/ra để làm việc với các thanh ghi riêng của mỗi bộ điều khiển thiết bị[cite: 63].,a3aa8203ae0398a1ef263322bcadebc3:10|a3aa8203ae0398a1ef263322bcadebc3:8|a3aa8203ae0398a1ef263322bcadebc3:6,6|8|10
q0039,a3aa8203ae0398a1ef263322bcadebc3,Hệ thống sẽ làm gì khi phát hiện một lỗi vào/ra?,"Khi phát hiện lỗi, hệ thống trước tiên sẽ cố gắng khắc phục bằng cách thực hiện lại thao tác nhiều lần[cite: 56]. Nếu lỗi vẫn tồn tại, hệ thống sẽ cố gắng khôi phục lại thông tin ban đầu hoặc thông báo lỗi[cite: 56, 57].",a3aa8203ae0398a1ef263322bcadebc3:26|a3aa8203ae0398a1ef263322bcadebc3:11|a3aa8203ae0398a1ef263322bcadebc3:33,11|26|33
q0040,a3aa8203ae0398a1ef263322bcadebc3,"Theo quan điểm lập trình, một thiết bị vào/ra được xem như là gì?","Theo quan điểm lập trình, một thiết bị vào/ra được xem như một giao diện phần mềm để nhận lệnh, thực hiện và trả kết quả về[cite: 62].",a3aa8203ae0398a1ef263322bcadebc3:4|a3aa8203ae0398a1ef263322bcadebc3:28|a3aa8203ae0398a1ef263322bcadebc3:11,4|11|28
q0041,ea73ad6304ed438f7e7d4c59ddd227a1,Bốn điều kiện cần thiết để xảy ra bế tắc (deadlock) là gì?,"Bốn điều kiện cần để xảy ra bế tắc bao gồm: 1) Tồn tại tài nguyên găng được sử dụng theo mô hình không phân chia được[cite: 85], 2) Một tiến trình chiếm giữ các tài nguyên đã được cung cấp trong khi chờ đợi[cite: 86], 3) Tài nguyên không thể được trưng dụng[cite: 87], và 4) Tồn tại một chu trình chờ đợi vòng tròn[cite: 88].",ea73ad6304ed438f7e7d4c59ddd227a1:193|ea73ad6304ed438f7e7d4c59ddd227a1:195|ea73ad6304ed438f7e7d4c59ddd227a1:176,178|195|197
q0042,ea73ad6304ed438f7e7d4c59ddd227a1,Nhược điểm chính của mô hình luồng ở mức người dùng (User-Level Threads) là gì?,"Nhược điểm chính của mô hình luồng ở mức người dùng là khi một luồng rơi vào trạng thái chờ đợi, tất cả các luồng khác trong cùng một tiến trình cũng bị chờ đợi theo, dẫn đến không tận dụng được ưu điểm của mô hình lập trình đa luồng[cite: 92].",ea73ad6304ed438f7e7d4c59ddd227a1:60|ea73ad6304ed438f7e7d4c59ddd227a1:61|ea73ad6304ed438f7e7d4c59ddd227a1:66,60|61|66
q0043,ea73ad6304ed438f7e7d4c59ddd227a1,Kể tên ba phương pháp chính để xử lý bế tắc.,"Ba phương pháp chính để xử lý bế tắc là: Phòng ngừa[cite: 77], Phòng tránh[cite: 77], và Nhận biết và Khắc phục[cite: 78].",ea73ad6304ed438f7e7d4c59ddd227a1:205|ea73ad6304ed438f7e7d4c59ddd227a1:194|ea73ad6304ed438f7e7d4c59ddd227a1:176,178|196|207
q0044,ea73ad6304ed438f7e7d4c59ddd227a1,Thuật toán Người quản lý nhà băng (Banker's Algorithm) hoạt động dựa trên nguyên tắc nào để phòng tránh bế tắc?,"Khi một tiến trình yêu cầu tài nguyên, thuật toán Người quản lý nhà băng sẽ kiểm tra xem việc đáp ứng yêu cầu đó có giữ cho hệ thống ở trạng thái an toàn hay không[cite: 75]. Nếu hệ thống vẫn an toàn, tài nguyên sẽ được cung cấp; ngược lại, tiến trình phải đợi[cite: 75].",ea73ad6304ed438f7e7d4c59ddd227a1:259|ea73ad6304ed438f7e7d4c59ddd227a1:237|ea73ad6304ed438f7e7d4c59ddd227a1:57,57|239|261
q0045,ea73ad6304ed438f7e7d4c59ddd227a1,Điều phối CPU không trưng dụng (non-preemptive) xảy ra trong những trường hợp nào?,Điều phối CPU không trưng dụng (non-preemptive) xảy ra khi một tiến trình chuyển từ trạng thái thực hiện sang trạng thái chờ đợi hoặc khi tiến trình đó kết thúc[cite: 81].,ea73ad6304ed438f7e7d4c59ddd227a1:79|ea73ad6304ed438f7e7d4c59ddd227a1:80|ea73ad6304ed438f7e7d4c59ddd227a1:86,79|80|86
q0046,ea73ad6304ed438f7e7d4c59ddd227a1,"Trong đồ thị cung cấp tài nguyên, điều gì cho thấy hệ thống đã rơi vào trạng thái bế tắc?",Sự xuất hiện của một chu trình trên đồ thị cung cấp tài nguyên cho thấy rằng hệ thống đang bị bế tắc[cite: 94].,ea73ad6304ed438f7e7d4c59ddd227a1:231|ea73ad6304ed438f7e7d4c59ddd227a1:257|ea73ad6304ed438f7e7d4c59ddd227a1:232,233|234|259
q0047,ea73ad6304ed438f7e7d4c59ddd227a1,Kỹ thuật SPOOLing giúp phòng ngừa bế tắc cho các tài nguyên như máy in bằng cách nào?,"Kỹ thuật SPOOLing giúp phòng ngừa bế tắc bằng cách đảm bảo chỉ có một tiến trình chuyên dụng, ví dụ như printer daemon, mới làm việc trực tiếp với máy in, qua đó bế tắc cho tài nguyên máy in bị hủy bỏ[cite: 82].",ea73ad6304ed438f7e7d4c59ddd227a1:209|ea73ad6304ed438f7e7d4c59ddd227a1:237|ea73ad6304ed438f7e7d4c59ddd227a1:215,211|217|239
q0048,ea73ad6304ed438f7e7d4c59ddd227a1,Tại sao các phép xử lý P(S) và V(S) trên đèn báo (semaphore) phải là các phép toán không phân chia được (atomic)?,"Các phép xử lý P(S) và V(S) trên đèn báo phải là các phép toán không phân chia được, vì bản thân chúng cũng là các tài nguyên găng và cần được điều độ để tránh xung đột[cite: 72].",ea73ad6304ed438f7e7d4c59ddd227a1:142|ea73ad6304ed438f7e7d4c59ddd227a1:224|ea73ad6304ed438f7e7d4c59ddd227a1:140,140|142|226
q0049,ea73ad6304ed438f7e7d4c59ddd227a1,"Khi sử dụng thuật toán dựa vào đồ thị cung cấp tài nguyên để phòng tránh bế tắc, cung đòi hỏi (claim edge) thể hiện điều gì?","Cung đòi hỏi (claim edge), được biểu diễn bằng Pi →Rj, cho biết rằng tiến trình Pi có thể yêu cầu tài nguyên Rj trong tương lai[cite: 83].",ea73ad6304ed438f7e7d4c59ddd227a1:231|ea73ad6304ed438f7e7d4c59ddd227a1:232|ea73ad6304ed438f7e7d4c59ddd227a1:257,233|234|259
q0050,ea73ad6304ed438f7e7d4c59ddd227a1,"Trong phương pháp khóa trong (lock-in), một tiến trình làm gì để vào đoạn găng?","Một tiến trình muốn vào đoạn găng sẽ kiểm tra một byte khóa chung[cite: 89]. Nếu khóa đang mở, tiến trình sẽ đóng khóa lại và được quyền vào; nếu khóa đang đóng, tiến trình sẽ phải đợi[cite: 89].",ea73ad6304ed438f7e7d4c59ddd227a1:114|ea73ad6304ed438f7e7d4c59ddd227a1:117|ea73ad6304ed438f7e7d4c59ddd227a1:118,114|117|118
